

Pre-Processed Platformer Experience Dataset, revised for better performance

Column 1: win_A
Column 2: powerUpSum_A
Column 3: numDeaths_A
Column 4: totalTime_A
Column 5: win_B
Column 6: powerUpSum_B
Column 7: numDeaths_B
Column 8: totalTime_B
Column 9: age
Column 10: playedBefore
Column 11: timePlayingGames
Column 12: playGames
Column 13: pairsPlayed
Column 14: engagementRanking_A
Column 15: frustrationRanking_A
Column 16: challengeRanking_A
Column 17: engagementRanking_B
Column 18: frustrationRanking_B
Column 19: challengeRanking_B

0,0,3,25483,0,0,3,133249,33,0,0,1,4,1,1,0,1,0,0
0,1,0,0,1,1,1,50203,28,0,3,0,2,0,0,1,0,1,1
0,0,3,64452,0,1,3,64420,25,0,0,0,3,0,1,0,0,1,0
1,0,1,91704,0,0,3,74267,26,0,3,0,3,1,1,1,0,0,0
1,2,2,137187,1,0,0,31562,26,0,1,0,3,0,1,1,0,1,1
1,0,1,67125,1,0,0,27469,23,0,0,0,3,1,1,0,1,1,0
0,0,3,147374,0,0,3,114939,22,0,0,0,4,0,0,1,0,1,0
0,0,3,226234,0,0,3,73578,24,0,0,1,3,1,1,0,0,0,0
0,0,3,94463,0,0,3,85928,25,1,0,1,4,1,1,1,0,1,0
0,0,3,38672,0,0,3,59125,36,1,0,1,2,0,0,0,0,0,0
0,0,3,58015,0,0,3,56155,37,1,0,1,3,0,0,0,0,0,0
0,0,3,93489,0,0,3,69315,30,0,0,1,3,0,0,0,0,0,0
0,0,3,238079,0,0,3,81062,27,0,0,1,3,0,0,0,0,0,0
0,0,3,70263,1,1,1,44314,33,1,0,0,4,1,1,1,0,1,1
0,0,3,70666,0,0,3,78989,32,0,0,0,4,0,0,1,1,0,1
1,0,0,22922,1,1,1,62546,24,0,0,0,3,1,1,1,0,1,0
0,0,3,147936,0,0,3,22468,25,0,0,0,3,0,1,0,0,0,0
1,0,0,28625,0,0,3,102094,23,0,0,0,3,1,1,1,1,1,1
1,0,2,66281,1,0,1,34078,23,0,0,0,3,0,1,1,1,1,1
1,0,0,27781,1,3,0,20000,26,0,2,0,3,1,1,1,0,1,0
0,0,3,61156,0,0,3,94483,34,0,0,0,4,1,0,1,1,1,1
0,0,3,77110,1,0,1,26671,31,0,1,0,4,1,0,0,0,1,1
0,1,3,163471,0,0,3,35204,29,0,0,1,3,0,1,1,0,1,1
1,0,0,62750,0,0,3,97987,26,0,0,1,3,0,1,1,0,0,0
1,0,2,70161,0,0,3,74750,39,1,0,0,3,0,1,0,0,0,0
0,0,3,249453,1,0,0,84702,35,0,0,0,4,0,1,0,1,1,1
0,0,3,84234,1,0,2,90906,33,0,0,1,3,1,0,0,1,1,0
0,0,3,35374,1,0,1,91484,29,0,0,1,3,0,0,0,1,1,1
0,0,3,109718,0,0,3,86344,42,1,0,1,3,1,0,0,0,0,0
0,0,3,73655,0,0,3,44953,29,1,0,1,3,1,1,1,1,1,1
0,0,3,103954,0,0,3,34314,29,0,1,0,3,0,0,0,0,0,0
0,0,3,48639,0,1,3,74109,26,0,0,0,3,0,0,0,0,1,1
0,0,3,112798,0,0,3,57172,28,0,0,1,5,0,1,1,1,1,1
0,0,3,24875,0,0,3,130798,45,1,0,1,3,1,1,1,0,0,0
1,0,0,45531,0,0,3,49529,30,0,0,0,3,1,1,0,1,0,0
0,0,3,89039,0,0,3,155761,25,0,0,1,4,0,0,0,0,0,0
0,0,3,80983,0,0,3,73423,23,0,0,0,3,1,1,0,1,1,1
0,0,3,145719,0,0,3,62658,48,1,0,1,3,0,1,0,0,1,0
0,0,3,189297,0,0,3,146891,27,0,0,1,4,0,1,1,1,0,0
0,0,3,51906,0,0,3,51890,29,1,1,0,3,1,0,0,0,0,0
1,0,0,93875,0,0,3,206832,28,0,0,1,2,1,1,1,1,1,1
0,0,3,171968,0,0,3,105454,27,0,0,0,3,0,1,1,1,1,1
0,0,3,86929,0,0,3,70224,30,0,0,0,4,0,0,0,0,0,1
0,0,3,97029,0,0,3,61296,30,0,0,1,4,0,1,0,1,0,0
0,0,3,69751,0,0,3,57532,29,0,0,1,3,0,1,0,0,1,0
0,0,3,129978,1,0,0,17988,27,0,0,0,4,1,1,0,1,1,1
1,0,0,20450,0,0,3,58375,31,0,0,0,4,1,1,1,0,0,0
0,0,3,133671,0,0,3,125046,29,0,0,0,4,0,1,0,0,1,0
0,0,3,95251,0,0,3,60454,33,1,0,0,4,1,1,1,0,0,0
0,0,3,56704,1,0,1,54376,34,1,2,0,3,1,0,0,0,1,1
1,0,0,25265,0,0,3,134326,27,0,0,0,3,0,1,1,0,1,0
0,0,3,98530,0,0,3,45438,37,0,0,1,3,1,0,0,0,0,0
0,0,3,47467,0,0,3,94063,26,0,0,0,3,1,0,0,1,0,0
0,0,3,65546,0,0,3,76218,23,0,0,0,3,1,1,1,1,0,1
1,0,0,29704,0,0,3,61438,30,1,1,0,5,0,1,1,1,1,1
0,0,3,69656,1,0,2,132108,26,0,3,0,3,0,1,1,0,1,1
1,0,1,68113,1,0,2,68247,30,1,0,0,3,0,1,1,0,0,0
1,0,2,69581,1,0,0,20447,27,0,0,0,5,1,1,1,1,1,1
